date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,48103100.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,1.0,92.8,50.0,45925700.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,45992400.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,24600.0,1230000.0,3.0,92.8,50.0,46073200.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,44724900.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,46034600.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,46423300.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07T00:00:00,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,92.8,50.0,45171300.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,43824800.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,45491000.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,44535100.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,2.0,92.8,50.0,45211200.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,44390100.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,44832400.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,43510700.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19T00:00:00,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,92.8,50.0,42786300.0,0.0,0.0,3966350139.0,3966350139.0,3966350139.0,0.0,0.0,,0.0,0.0,0.0
