date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,73.0,0.0,0.0,81.0,71.0,75.0,2.0,35015000.0,2635833000.0,1421.0,574.6,75.0,754500.0,74.0,1814300.0,46277496376.0,46277496376.0,46277496376.0,6462900.0,250000.0,,5070400.0,746944000.0,2.0
2019-07-30,75.0,0.0,0.0,77.0,73.0,76.0,1.0,43006500.0,3243571400.0,601.0,582.3,76.0,537800.0,75.0,255300.0,46277496376.0,46277496376.0,46277496376.0,466700.0,388100.0,,1480800.0,248774400.0,1.0
2019-07-31,76.0,0.0,0.0,78.0,74.0,74.0,-2.0,35329700.0,2651275100.0,379.0,567.0,75.0,1000.0,74.0,2040500.0,46277496376.0,46277496376.0,46277496376.0,107500.0,147100.0,,26668700.0,4000144000.0,2.0
2019-08-01,74.0,0.0,0.0,76.0,73.0,75.0,1.0,5658200.0,417194800.0,240.0,574.6,75.0,1124400.0,74.0,5000.0,46277496376.0,46277496376.0,46277496376.0,45000.0,0.0,,95467600.0,12008753600.0,21.0
2019-08-02,75.0,0.0,0.0,74.0,71.0,74.0,-1.0,75714800.0,5453877300.0,305.0,567.0,74.0,186300.0,73.0,1000.0,46277496376.0,46277496376.0,46277496376.0,102100.0,0.0,,67760000.0,8537760000.0,2.0
2019-08-05,74.0,0.0,0.0,74.0,69.0,70.0,-4.0,10726700.0,753268700.0,440.0,536.3,70.0,119400.0,69.0,448900.0,46277496376.0,46277496376.0,46277496376.0,0.0,291000.0,,7616800.0,1049928800.0,3.0
2019-08-06,70.0,0.0,0.0,71.0,65.0,71.0,1.0,25996000.0,1790213700.0,400.0,544.0,71.0,42600.0,70.0,44700.0,46277496376.0,46277496376.0,46277496376.0,229700.0,48400.0,,40361800.0,3351257600.0,6.0
2019-08-07,71.0,0.0,0.0,89.0,69.0,82.0,11.0,158601500.0,13366064500.0,3743.0,628.3,83.0,480900.0,82.0,222800.0,46277496376.0,46277496376.0,46277496376.0,178400.0,0.0,,3521100.0,249998100.0,2.0
2019-08-08,82.0,0.0,0.0,90.0,77.0,82.0,0.0,123448500.0,10395409500.0,2992.0,628.3,82.0,739800.0,81.0,3300.0,46277496376.0,46277496376.0,46277496376.0,262300.0,576200.0,,21989200.0,2212003400.0,4.0
2019-08-09,82.0,0.0,0.0,87.0,81.0,83.0,1.0,48310800.0,3979912700.0,920.0,635.9,83.0,1673900.0,82.0,506100.0,46277496376.0,46277496376.0,46277496376.0,567600.0,118200.0,,25252100.0,2400556800.0,6.0
2019-08-12,83.0,0.0,0.0,84.0,79.0,80.0,-3.0,31143300.0,2515240300.0,547.0,612.9,80.0,537800.0,79.0,410000.0,46277496376.0,46277496376.0,46277496376.0,253200.0,703700.0,,8363200.0,1145758400.0,1.0
2019-08-13,80.0,0.0,0.0,80.0,76.0,78.0,-2.0,19177400.0,1482869500.0,489.0,597.6,78.0,551600.0,77.0,97500.0,46277496376.0,46277496376.0,46277496376.0,449900.0,0.0,,8157700.0,1146610500.0,4.0
2019-08-14,78.0,0.0,0.0,78.0,74.0,74.0,-4.0,33420500.0,2505553300.0,381.0,567.0,74.0,560200.0,73.0,442200.0,46277496376.0,46277496376.0,46277496376.0,0.0,0.0,,18412100.0,2356444400.0,6.0
2019-08-15,74.0,0.0,0.0,77.0,72.0,76.0,2.0,11228000.0,825691700.0,689.0,582.3,76.0,266700.0,75.0,1000.0,46277496376.0,46277496376.0,46277496376.0,11500.0,21200.0,,11338100.0,839019400.0,5.0
2019-08-16,76.0,0.0,0.0,83.0,76.0,80.0,4.0,134020600.0,10511818400.0,1012.0,612.9,80.0,1106600.0,79.0,5900.0,46277496376.0,46277496376.0,46277496376.0,159100.0,149400.0,,25234900.0,2018792000.0,6.0
2019-08-19,80.0,0.0,0.0,85.0,76.0,80.0,0.0,63823800.0,5139809700.0,770.0,612.9,80.0,536800.0,79.0,205000.0,46277496376.0,46277496376.0,46277496376.0,0.0,14834000.0,,36500000.0,2920000000.0,1.0
2019-08-20,80.0,0.0,0.0,80.0,75.0,75.0,-5.0,55280300.0,4248476500.0,504.0,574.6,75.0,57800.0,74.0,868200.0,46277496376.0,46277496376.0,46277496376.0,339200.0,0.0,,60676000.0,5938050600.0,4.0
2019-08-21,75.0,0.0,0.0,76.0,73.0,75.0,0.0,65993100.0,4910304800.0,197.0,574.6,75.0,339400.0,74.0,1100.0,46277496376.0,46277496376.0,46277496376.0,33200.0,0.0,,0.0,0.0,0.0
2019-08-22,75.0,0.0,0.0,76.0,73.0,73.0,-2.0,48893500.0,3616411200.0,141.0,559.3,74.0,213700.0,73.0,144700.0,46277496376.0,46277496376.0,46277496376.0,900.0,26400.0,,0.0,0.0,0.0
2019-08-23,73.0,0.0,0.0,75.0,70.0,71.0,-2.0,78993400.0,5793447200.0,415.0,544.0,71.0,292600.0,70.0,85600.0,46277496376.0,46277496376.0,46277496376.0,131100.0,599500.0,,10936700.0,1749872000.0,5.0
2019-08-26,71.0,0.0,0.0,71.0,66.0,68.0,-3.0,18612300.0,1314521900.0,282.0,521.0,69.0,132100.0,68.0,5700.0,46277496376.0,46277496376.0,46277496376.0,5400.0,0.0,,9575700.0,1379276200.0,4.0
2019-08-27,68.0,0.0,0.0,73.0,68.0,69.0,1.0,239925600.0,16560913400.0,666.0,528.7,70.0,944500.0,69.0,5200.0,46277496376.0,46277496376.0,46277496376.0,150000.0,609800.0,,5184700.0,799997900.0,2.0
2019-08-28,69.0,0.0,0.0,72.0,68.0,72.0,3.0,145150000.0,10172183800.0,530.0,551.6,73.0,766100.0,72.0,36200.0,46277496376.0,46277496376.0,46277496376.0,499200.0,55700000.0,,22387000.0,3043918100.0,7.0
2019-08-29,72.0,0.0,0.0,74.0,68.0,70.0,-2.0,75300300.0,5369040300.0,524.0,536.3,71.0,1560100.0,70.0,616600.0,46277496376.0,46277496376.0,46277496376.0,172200.0,27771100.0,,154900000.0,12496800000.0,2.0
2019-08-30,70.0,0.0,0.0,71.0,68.0,70.0,0.0,41030000.0,2865017200.0,307.0,536.3,70.0,587400.0,69.0,56000.0,46277496376.0,46277496376.0,46277496376.0,0.0,16900000.0,,6961800.0,1099964400.0,1.0
2019-09-02,70.0,0.0,0.0,71.0,68.0,69.0,-1.0,24207200.0,1670564600.0,111.0,528.7,70.0,1683600.0,69.0,385900.0,46277496376.0,46277496376.0,46277496376.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,69.0,0.0,0.0,70.0,66.0,70.0,1.0,3797800.0,260558000.0,203.0,536.3,70.0,319300.0,68.0,140500.0,46277496376.0,46277496376.0,46277496376.0,69200.0,60000.0,,1492000.0,249164000.0,1.0
2019-09-04,70.0,0.0,0.0,70.0,68.0,69.0,-1.0,27306800.0,1882402600.0,224.0,528.7,69.0,1050700.0,68.0,436700.0,46277496376.0,46277496376.0,46277496376.0,0.0,114500.0,,4997600.0,663349600.0,4.0
2019-09-05,69.0,0.0,0.0,69.0,65.0,65.0,-4.0,5808100.0,386973700.0,354.0,498.0,66.0,12300.0,65.0,1009800.0,46277496376.0,46277496376.0,46277496376.0,0.0,0.0,,26723940.0,1918898260.0,7.0
2019-09-06,65.0,0.0,0.0,72.0,65.0,71.0,6.0,112055300.0,7734592800.0,1271.0,544.0,72.0,1044000.0,71.0,324400.0,46277496376.0,46277496376.0,46277496376.0,60000.0,997100.0,,1678600.0,142681000.0,1.0
2019-09-09,71.0,0.0,0.0,72.0,67.0,68.0,-3.0,12883600.0,883567000.0,599.0,521.0,69.0,3349500.0,68.0,312000.0,46277496376.0,46277496376.0,46277496376.0,796100.0,504700.0,,5747700.0,401910500.0,3.0
2019-09-10,68.0,0.0,0.0,69.0,68.0,68.0,0.0,1466300.0,99898900.0,215.0,521.0,69.0,3651000.0,68.0,158800.0,46277496376.0,46277496376.0,46277496376.0,0.0,0.0,,24199100.0,1873421200.0,6.0
2019-09-11,68.0,0.0,0.0,70.0,67.0,68.0,0.0,25722600.0,1749223200.0,240.0,521.0,69.0,2646000.0,68.0,117200.0,46277496376.0,46277496376.0,46277496376.0,0.0,0.0,,7353000.0,500004000.0,2.0
2019-09-12,68.0,0.0,0.0,69.0,64.0,66.0,-2.0,68692500.0,4571847000.0,719.0,505.7,66.0,84800.0,65.0,1186300.0,46277496376.0,46277496376.0,46277496376.0,281300.0,220200.0,,6049100.0,749990200.0,2.0
2019-09-13,66.0,0.0,0.0,69.0,65.0,65.0,-1.0,125354600.0,8403092500.0,686.0,498.0,66.0,1588800.0,65.0,3295500.0,46277496376.0,46277496376.0,46277496376.0,188900.0,797100.0,,3826000.0,263994000.0,1.0
2019-09-16,65.0,0.0,0.0,68.0,64.0,65.0,0.0,41091600.0,2706541300.0,408.0,498.0,66.0,314000.0,65.0,636000.0,46277496376.0,46277496376.0,46277496376.0,932800.0,1378400.0,,0.0,0.0,0.0
2019-09-17,65.0,0.0,0.0,66.0,61.0,62.0,-3.0,20747400.0,1317413100.0,713.0,475.0,63.0,179500.0,62.0,269000.0,46277496376.0,46277496376.0,46277496376.0,377700.0,0.0,,3476900.0,369539400.0,3.0
2019-09-18,62.0,0.0,0.0,63.0,60.0,61.0,-1.0,34705100.0,2138517600.0,665.0,467.4,61.0,91400.0,60.0,1525300.0,46277496376.0,46277496376.0,46277496376.0,44300.0,0.0,,2040800.0,248977600.0,1.0
2019-09-19,61.0,0.0,0.0,62.0,56.0,59.0,-2.0,16450000.0,966312400.0,744.0,452.0,59.0,726900.0,58.0,29800.0,46277496376.0,46277496376.0,46277496376.0,44400.0,0.0,,1200000.0,150000000.0,1.0
2019-09-20,59.0,0.0,0.0,62.0,55.0,61.0,2.0,74975100.0,4464750200.0,1116.0,467.4,61.0,535000.0,60.0,154200.0,46277496376.0,46277496376.0,46277496376.0,0.0,103500.0,,1666600.0,249990000.0,1.0
2019-09-23,61.0,0.0,0.0,61.0,58.0,59.0,-2.0,2882200.0,170133100.0,225.0,452.0,60.0,283100.0,59.0,11200.0,46277496376.0,46277496376.0,46277496376.0,100.0,83000.0,,4868100.0,598746800.0,2.0
2019-09-24,59.0,0.0,0.0,59.0,56.0,59.0,0.0,317582400.0,18418328800.0,450.0,452.0,59.0,896400.0,58.0,37200.0,46277496376.0,46277496376.0,46277496376.0,140000.0,0.0,,2460800.0,297756800.0,1.0
2019-09-25,59.0,0.0,0.0,60.0,56.0,59.0,0.0,49345300.0,2907796500.0,297.0,452.0,59.0,283200.0,58.0,333000.0,46277496376.0,46277496376.0,46277496376.0,0.0,106500.0,,46278700.0,3791652100.0,7.0
2019-09-26,59.0,0.0,0.0,64.0,57.0,61.0,2.0,40506300.0,2392635100.0,815.0,467.4,61.0,151900.0,60.0,322000.0,46277496376.0,46277496376.0,46277496376.0,0.0,436200.0,,2104800.0,248366400.0,1.0
2019-09-27,61.0,0.0,0.0,69.0,58.0,67.0,6.0,56210700.0,3482979800.0,777.0,513.3,67.0,87700.0,66.0,366400.0,46277496376.0,46277496376.0,46277496376.0,58800.0,293300.0,,137584300.0,8365186300.0,3.0
2019-09-30,67.0,0.0,0.0,72.0,64.0,67.0,0.0,56176200.0,3703042100.0,977.0,513.3,67.0,183600.0,66.0,101000.0,46277496376.0,46277496376.0,46277496376.0,1068700.0,0.0,,15416400.0,1458283800.0,4.0
2019-10-01,67.0,0.0,0.0,69.0,64.0,67.0,0.0,9057900.0,601486700.0,670.0,513.3,67.0,289300.0,66.0,202700.0,46277496376.0,46277496376.0,46277496376.0,1131300.0,0.0,,7634100.0,381705000.0,1.0
2019-10-02,67.0,0.0,0.0,71.0,63.0,63.0,-4.0,57951100.0,3955537900.0,1693.0,482.7,64.0,100000.0,63.0,197300.0,46277496376.0,46277496376.0,46277496376.0,378100.0,641100.0,,12428800.0,1828569600.0,6.0
2019-10-03,63.0,0.0,0.0,65.0,61.0,61.0,-2.0,15938600.0,989872100.0,374.0,467.4,62.0,166600.0,61.0,410300.0,46277496376.0,46277496376.0,46277496376.0,0.0,254100.0,,34345700.0,4736704800.0,4.0
2019-10-04,61.0,0.0,0.0,64.0,61.0,62.0,1.0,30397200.0,1913167600.0,193.0,475.0,63.0,313700.0,62.0,9600.0,46277496376.0,46277496376.0,46277496376.0,161500.0,325000.0,,1972600.0,157808000.0,1.0
2019-10-07,62.0,0.0,0.0,69.0,62.0,67.0,5.0,11017400.0,722938000.0,860.0,513.3,67.0,541500.0,66.0,8000.0,46277496376.0,46277496376.0,46277496376.0,612500.0,0.0,,111067000.0,6918257000.0,2.0
2019-10-08,67.0,0.0,0.0,68.0,64.0,68.0,1.0,8050400.0,534457300.0,447.0,521.0,68.0,819600.0,67.0,182000.0,46277496376.0,46277496376.0,46277496376.0,173100.0,105000.0,,0.0,0.0,0.0
2019-10-09,68.0,0.0,0.0,69.0,65.0,69.0,1.0,6708200.0,452803600.0,241.0,528.7,69.0,808900.0,67.0,313500.0,46277496376.0,46277496376.0,46277496376.0,94800.0,94800.0,,55664400.0,4080948400.0,5.0
2019-10-10,69.0,0.0,0.0,70.0,67.0,68.0,-1.0,4949300.0,336957100.0,265.0,521.0,68.0,1488000.0,67.0,178900.0,46277496376.0,46277496376.0,46277496376.0,0.0,52400.0,,12180200.0,1009010000.0,3.0
2019-10-11,68.0,0.0,0.0,68.0,66.0,68.0,0.0,26393200.0,1768909800.0,273.0,521.0,68.0,457000.0,67.0,173900.0,46277496376.0,46277496376.0,46277496376.0,52400.0,0.0,,1956200.0,97810000.0,1.0
2019-10-14,68.0,0.0,0.0,68.0,66.0,68.0,0.0,1986400.0,133811300.0,121.0,521.0,68.0,206600.0,67.0,49000.0,46277496376.0,46277496376.0,46277496376.0,0.0,45500.0,,25129000.0,1720967600.0,3.0
2019-10-15,68.0,0.0,0.0,68.0,65.0,67.0,-1.0,60762100.0,4069630200.0,165.0,513.3,67.0,65000.0,66.0,98800.0,46277496376.0,46277496376.0,46277496376.0,0.0,0.0,,3676400.0,249995200.0,1.0
2019-10-16,67.0,0.0,0.0,69.0,64.0,68.0,1.0,42626500.0,2781389400.0,785.0,521.0,68.0,101900.0,67.0,5400.0,46277496376.0,46277496376.0,46277496376.0,81000.0,67500.0,,14050600.0,1499379600.0,5.0
2019-10-17,68.0,0.0,0.0,69.0,66.0,69.0,1.0,17217200.0,1170629500.0,156.0,528.7,69.0,310600.0,67.0,131500.0,46277496376.0,46277496376.0,46277496376.0,0.0,284600.0,,10764500.0,864697000.0,3.0
2019-10-18,69.0,0.0,0.0,71.0,67.0,70.0,1.0,103558400.0,7181353000.0,296.0,536.3,70.0,266300.0,69.0,207000.0,46277496376.0,46277496376.0,46277496376.0,0.0,366300.0,,9612400.0,638023000.0,2.0
2019-10-21,70.0,0.0,0.0,72.0,70.0,71.0,1.0,24414900.0,1713851600.0,213.0,544.0,71.0,2356900.0,70.0,1700.0,46277496376.0,46277496376.0,46277496376.0,24300.0,0.0,,7407400.0,999999000.0,1.0
