date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-04-09T00:00:00,196.0,0.0,0.0,264.0,196.0,197.0,1.0,23164200.0,5245708900.0,3137.0,100.5,197.0,649700.0,196.0,370600.0,816061500.0,816061500.0,816061500.0,0.0,326500.0,,0.0,0.0,0.0
2020-04-13T00:00:00,197.0,0.0,0.0,200.0,184.0,184.0,-13.0,4094400.0,756927500.0,600.0,93.9,184.0,355200.0,0.0,0.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,50000000.0,10000000000.0,2.0
2020-04-14T00:00:00,184.0,0.0,0.0,190.0,172.0,177.0,-7.0,4183200.0,733936800.0,785.0,90.3,179.0,10000.0,177.0,206900.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,76530600.0,15306120000.0,3.0
2020-04-15T00:00:00,177.0,0.0,0.0,189.0,173.0,184.0,7.0,1521600.0,275020500.0,370.0,93.9,185.0,500.0,184.0,178100.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,44061500.0,8812300000.0,5.0
2020-04-16T00:00:00,184.0,0.0,0.0,202.0,174.0,181.0,-3.0,4908700.0,936289900.0,900.0,92.3,182.0,19500.0,181.0,325900.0,816061500.0,816061500.0,816061500.0,20000.0,0.0,,0.0,0.0,0.0
2020-04-17T00:00:00,181.0,0.0,0.0,190.0,169.0,190.0,9.0,2175000.0,384719400.0,423.0,96.9,190.0,195900.0,186.0,10000.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-20T00:00:00,190.0,0.0,0.0,188.0,179.0,183.0,-7.0,562500.0,101708900.0,141.0,93.4,183.0,46600.0,182.0,85000.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-21T00:00:00,183.0,0.0,0.0,183.0,171.0,172.0,-11.0,363500.0,63011100.0,113.0,87.8,175.0,11300.0,172.0,14600.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-22T00:00:00,172.0,0.0,0.0,180.0,160.0,172.0,0.0,515600.0,86437300.0,291.0,87.8,172.0,29400.0,171.0,5000.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-23T00:00:00,172.0,0.0,0.0,185.0,162.0,172.0,0.0,856000.0,144727700.0,119.0,87.8,172.0,19800.0,169.0,300.0,816061500.0,816061500.0,816061500.0,306500.0,0.0,,0.0,0.0,0.0
2020-04-24T00:00:00,172.0,0.0,0.0,172.0,162.0,164.0,-8.0,251500.0,41385900.0,83.0,83.7,164.0,22000.0,163.0,20000.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-27T00:00:00,164.0,0.0,0.0,169.0,163.0,169.0,5.0,3488500.0,569085800.0,100.0,86.2,169.0,8200.0,168.0,200.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-28T00:00:00,169.0,0.0,0.0,177.0,163.0,175.0,6.0,85300.0,14359100.0,63.0,89.3,175.0,13500.0,174.0,5000.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-29T00:00:00,175.0,0.0,0.0,180.0,165.0,175.0,0.0,89800.0,15437600.0,21.0,89.3,175.0,31200.0,174.0,2500.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-04-30T00:00:00,175.0,0.0,0.0,180.0,164.0,180.0,5.0,735000.0,130174500.0,56.0,91.8,180.0,492400.0,176.0,200.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-05-04T00:00:00,180.0,0.0,0.0,182.0,174.0,178.0,-2.0,779400.0,140623300.0,53.0,90.8,178.0,45000.0,177.0,30100.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,0.0,0.0,0.0
2020-05-05T00:00:00,178.0,0.0,0.0,180.0,170.0,175.0,-3.0,148900.0,25867500.0,46.0,89.3,177.0,2000.0,175.0,100.0,816061500.0,816061500.0,816061500.0,0.0,0.0,,5618000.0,1000004000.0,1.0
