date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,100.0,0.0,0.0,101.0,97.0,99.0,-1.0,634400.0,62775900.0,59.0,4.2,100.0,132000.0,99.0,5700.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,99.0,0.0,0.0,100.0,98.0,100.0,1.0,102800.0,10214300.0,31.0,4.2,99.0,400.0,98.0,37400.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,100.0,0.0,0.0,100.0,99.0,99.0,-1.0,104000.0,10316400.0,27.0,4.2,99.0,72500.0,98.0,20500.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,99.0,0.0,0.0,99.0,97.0,98.0,-1.0,272300.0,26604700.0,62.0,4.1,98.0,100.0,97.0,64200.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,98.0,0.0,0.0,99.0,97.0,98.0,0.0,252800.0,24769300.0,15.0,4.1,99.0,161200.0,98.0,3700.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,98.0,0.0,0.0,99.0,95.0,95.0,-3.0,221000.0,21450300.0,40.0,4.0,97.0,14300.0,95.0,3760400.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,95.0,0.0,0.0,98.0,95.0,98.0,3.0,3126500.0,297105900.0,28.0,4.1,98.0,16200.0,96.0,19400.0,1230839821.0,1230839821.0,1230839821.0,3000000.0,0.0,,0.0,0.0,0.0
2019-08-07,98.0,0.0,0.0,99.0,97.0,97.0,-1.0,90300.0,8805100.0,51.0,4.1,99.0,43100.0,97.0,21800.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,97.0,0.0,0.0,97.0,97.0,97.0,0.0,45700.0,4432900.0,10.0,4.1,100.0,105400.0,97.0,800.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,97.0,0.0,0.0,98.0,95.0,96.0,-1.0,14500.0,1385100.0,8.0,4.0,97.0,7500.0,96.0,50300.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,10000000.0,1000000000.0,1.0
2019-08-12,96.0,0.0,0.0,98.0,95.0,96.0,0.0,128500.0,12253800.0,24.0,4.0,96.0,40900.0,95.0,423800.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,96.0,0.0,0.0,97.0,95.0,97.0,1.0,143600.0,13806200.0,21.0,4.1,97.0,9100.0,95.0,548300.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,97.0,0.0,0.0,96.0,95.0,95.0,-2.0,197300.0,18759700.0,15.0,4.0,96.0,300.0,95.0,420100.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,95.0,0.0,0.0,97.0,95.0,97.0,2.0,212800.0,20229400.0,8.0,4.1,97.0,24500.0,95.0,117300.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,97.0,0.0,0.0,98.0,95.0,97.0,0.0,150200.0,14319900.0,8.0,4.1,96.0,4200.0,95.0,111900.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,97.0,0.0,0.0,97.0,90.0,93.0,-4.0,257600.0,23866300.0,51.0,3.9,94.0,93300.0,93.0,58100.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,93.0,0.0,0.0,95.0,90.0,94.0,1.0,115700.0,10648800.0,12.0,4.0,94.0,800.0,92.0,5500.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,94.0,0.0,0.0,95.0,94.0,95.0,1.0,15500.0,1466900.0,7.0,4.0,94.0,400.0,92.0,10800.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,95.0,0.0,0.0,94.0,93.0,93.0,-2.0,23200.0,2173400.0,12.0,3.9,93.0,1100.0,92.0,64300.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,93.0,0.0,0.0,92.0,87.0,91.0,-2.0,47000.0,4244500.0,23.0,3.8,91.0,700.0,90.0,66200.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,91.0,0.0,0.0,90.0,89.0,89.0,-2.0,179000.0,16084100.0,15.0,3.7,90.0,269800.0,88.0,25100.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,89.0,0.0,0.0,92.0,85.0,89.0,0.0,122400.0,10751500.0,35.0,3.7,91.0,70100.0,87.0,11700.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,550000.0,46750000.0,1.0
2019-08-28,89.0,0.0,0.0,90.0,85.0,88.0,-1.0,5067600.0,431089500.0,35.0,3.7,88.0,600.0,86.0,6600.0,1230839821.0,1230839821.0,1230839821.0,5000000.0,0.0,,0.0,0.0,0.0
2019-08-29,88.0,0.0,0.0,104.0,88.0,102.0,14.0,7560800.0,762065300.0,235.0,4.3,103.0,74100.0,102.0,35200.0,1230839821.0,1230839821.0,1230839821.0,0.0,6845200.0,,0.0,0.0,0.0
2019-08-30,102.0,0.0,0.0,105.0,92.0,98.0,-4.0,599600.0,60724100.0,68.0,4.1,98.0,2500.0,97.0,10000.0,1230839821.0,1230839821.0,1230839821.0,100000.0,100000.0,,0.0,0.0,0.0
2019-09-02,98.0,0.0,0.0,100.0,88.0,95.0,-3.0,246400.0,23385400.0,34.0,4.0,97.0,700.0,95.0,5600.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,95.0,0.0,0.0,96.0,91.0,92.0,-3.0,72200.0,6617600.0,15.0,3.9,94.0,400.0,92.0,1100.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,92.0,0.0,0.0,99.0,92.0,98.0,6.0,6800.0,661400.0,12.0,4.1,98.0,24000.0,94.0,9700.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,98.0,0.0,0.0,98.0,98.0,98.0,0.0,500.0,49000.0,4.0,4.1,96.0,5000.0,94.0,11500.0,1230839821.0,1230839821.0,1230839821.0,0.0,0.0,,0.0,0.0,0.0
