date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-11-08T00:00:00,1355.0,0.0,0.0,1690.0,1390.0,1450.0,95.0,189232400.0,289350509000.0,80287.0,107.0,1455.0,20200.0,1450.0,782300.0,3138823600.0,3138823600.0,470823600.0,19774700.0,5466100.0,,11100.0,15310100.0,3.0
2023-11-09T00:00:00,1450.0,0.0,0.0,1465.0,1325.0,1370.0,-80.0,63438200.0,87244382000.0,19487.0,101.1,1370.0,190800.0,1365.0,50100.0,3138823600.0,3138823600.0,470823600.0,3200000.0,6743100.0,,2400.0,3936000.0,3.0
2023-11-10T00:00:00,1370.0,0.0,0.0,1430.0,1360.0,1370.0,0.0,14815900.0,20444544000.0,7283.0,101.1,1370.0,285700.0,1365.0,302400.0,3138823600.0,3138823600.0,470823600.0,120300.0,800.0,,0.0,0.0,0.0
2023-11-13T00:00:00,1370.0,0.0,0.0,1410.0,1350.0,1360.0,-10.0,14834800.0,20355066000.0,5223.0,100.4,1360.0,196000.0,1355.0,5796300.0,3138823600.0,3138823600.0,470823600.0,0.0,373200.0,,0.0,0.0,0.0
2023-11-14T00:00:00,1360.0,0.0,0.0,1400.0,1355.0,1385.0,25.0,13875400.0,19093783500.0,4035.0,102.2,1385.0,176700.0,1380.0,19000.0,3138823600.0,3138823600.0,470823600.0,0.0,101000.0,,0.0,0.0,0.0
2023-11-15T00:00:00,1385.0,0.0,0.0,1395.0,1360.0,1365.0,-20.0,7972100.0,10896465500.0,2860.0,100.7,1365.0,207100.0,1360.0,3311400.0,3138823600.0,3138823600.0,470823600.0,8700.0,7800.0,,0.0,0.0,0.0
2023-11-16T00:00:00,1365.0,0.0,0.0,1375.0,1350.0,1360.0,-5.0,11488600.0,15580035500.0,2641.0,100.4,1360.0,162600.0,1355.0,15600.0,3138823600.0,3138823600.0,470823600.0,0.0,6700.0,,0.0,0.0,0.0
2023-11-17T00:00:00,1360.0,0.0,0.0,1370.0,1325.0,1360.0,0.0,4888500.0,6619122000.0,1746.0,100.4,1360.0,274300.0,1355.0,56600.0,3138823600.0,3138823600.0,470823600.0,311200.0,0.0,,0.0,0.0,0.0
2023-11-20T00:00:00,1360.0,0.0,0.0,1360.0,1345.0,1360.0,0.0,8114500.0,10970078500.0,2583.0,100.4,1360.0,204700.0,1355.0,130300.0,3138823600.0,3138823600.0,470823600.0,3200.0,104400.0,,0.0,0.0,0.0
2023-11-21T00:00:00,1360.0,0.0,0.0,1385.0,1350.0,1360.0,0.0,4854500.0,6592966500.0,2130.0,100.4,1365.0,35200.0,1360.0,78500.0,3138823600.0,3138823600.0,470823600.0,554100.0,5800.0,,0.0,0.0,0.0
