date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-04-18T00:00:00,78.0,0.0,0.0,85.0,71.0,71.0,-7.0,93398200.0,6643624800.0,13294.0,91.0,71.0,42206200.0,0.0,0.0,1434000000.0,430200000.0,0.0,0.0,941200.0,,171900.0,13408200.0,1.0
2023-04-26T00:00:00,71.0,0.0,0.0,64.0,64.0,64.0,-7.0,102371600.0,6551782400.0,22960.0,82.1,64.0,48168200.0,0.0,0.0,1434000000.0,430200000.0,0.0,0.0,51000.0,,0.0,0.0,0.0
2023-04-27T00:00:00,64.0,0.0,0.0,58.0,58.0,58.0,-6.0,75156700.0,4359088600.0,7724.0,74.4,58.0,53126600.0,0.0,0.0,1434000000.0,430200000.0,0.0,0.0,10000.0,,0.0,0.0,0.0
2023-04-28T00:00:00,58.0,0.0,0.0,53.0,53.0,53.0,-5.0,67718700.0,3589091100.0,11791.0,67.9,53.0,51423700.0,0.0,0.0,1434000000.0,430200000.0,0.0,0.0,130000.0,,440000.0,17600000.0,1.0
2023-05-02T00:00:00,53.0,0.0,0.0,58.0,48.0,54.0,1.0,342295000.0,17610300400.0,17706.0,69.2,54.0,3111500.0,53.0,422400.0,1434000000.0,430200000.0,0.0,4285600.0,800000.0,,0.0,0.0,0.0
2023-05-03T00:00:00,54.0,0.0,0.0,55.0,51.0,52.0,-2.0,30359200.0,1602762700.0,3514.0,66.7,53.0,1119400.0,52.0,5921100.0,1434000000.0,430200000.0,0.0,1079200.0,0.0,,0.0,0.0,0.0
2023-05-04T00:00:00,52.0,0.0,0.0,53.0,48.0,50.0,-2.0,21945500.0,1087794800.0,2489.0,64.1,50.0,1698500.0,49.0,2757800.0,1434000000.0,430200000.0,0.0,66600.0,1497600.0,,0.0,0.0,0.0
2023-05-05T00:00:00,50.0,0.0,0.0,51.0,45.0,50.0,0.0,61629400.0,2934690100.0,3156.0,64.1,50.0,169700.0,49.0,6429800.0,1434000000.0,430200000.0,0.0,749600.0,360000.0,,0.0,0.0,0.0
2023-05-08T00:00:00,50.0,0.0,0.0,51.0,46.0,50.0,0.0,22380700.0,1079091700.0,2394.0,64.1,50.0,769500.0,49.0,114700.0,1434000000.0,430200000.0,0.0,20000.0,160000.0,,0.0,0.0,0.0
2023-05-09T00:00:00,50.0,0.0,0.0,50.0,48.0,50.0,0.0,9923800.0,486229900.0,1259.0,64.1,50.0,3585400.0,49.0,1163400.0,1434000000.0,430200000.0,0.0,400000.0,0.0,,0.0,0.0,0.0
2023-05-10T00:00:00,50.0,0.0,0.0,50.0,48.0,50.0,0.0,10065900.0,495752000.0,1191.0,64.1,50.0,2543600.0,49.0,178700.0,1434000000.0,430200000.0,0.0,200.0,100.0,,0.0,0.0,0.0
