date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-11-08,450.0,0.0,0.0,472.0,440.0,450.0,0.0,903441000.0,411285325800.0,32749.0,100.0,452.0,4037700.0,450.0,456294100.0,118474705740.0,17859867500.0,19230592940.0,38093400.0,77001000.0,,12233300.0,5504985000.0,2.0
2022-11-09,450.0,0.0,0.0,458.0,450.0,456.0,6.0,154285200.0,70052469600.0,8277.0,101.3,456.0,63300.0,454.0,24210800.0,118474705740.0,17859867500.0,19230592940.0,9233100.0,6280500.0,,2208400.0,1011431800.0,156.0
2022-11-10,456.0,0.0,0.0,458.0,450.0,450.0,-6.0,90002300.0,40677582000.0,5085.0,100.0,452.0,10304400.0,450.0,516832400.0,118474705740.0,17859867500.0,19230592940.0,17919200.0,38066500.0,,8500.0,3866600.0,9.0
2022-11-11,450.0,0.0,0.0,488.0,452.0,484.0,34.0,414947900.0,195335828400.0,16863.0,107.6,486.0,5257600.0,484.0,5783200.0,118474705740.0,17859867500.0,19230592940.0,17673400.0,28834500.0,,0.0,0.0,0.0
2022-11-14,484.0,0.0,0.0,486.0,470.0,474.0,-10.0,86924800.0,41332126600.0,3883.0,105.3,476.0,411000.0,474.0,19500.0,118474705740.0,17859867500.0,19230592940.0,1695900.0,19822800.0,,0.0,0.0,0.0
2022-11-15,474.0,0.0,0.0,476.0,462.0,472.0,-2.0,30151400.0,14079239600.0,2407.0,104.9,472.0,717800.0,470.0,230200.0,118474705740.0,17859867500.0,19230592940.0,10000.0,3980500.0,,9688700.0,4359915000.0,5.0
2022-11-16,472.0,0.0,0.0,494.0,466.0,488.0,16.0,88033400.0,42633660000.0,11312.0,108.4,490.0,560700.0,488.0,1714900.0,118474705740.0,17859867500.0,19230592940.0,676600.0,1708100.0,,0.0,0.0,0.0
2022-11-17,488.0,0.0,0.0,510.0,478.0,500.0,12.0,186887600.0,93170990500.0,9560.0,111.1,505.0,3467400.0,500.0,14428300.0,118474705740.0,17859867500.0,19230592940.0,1843400.0,19656400.0,,0.0,0.0,0.0
2022-11-18,500.0,0.0,0.0,505.0,490.0,496.0,-4.0,44008800.0,21845835200.0,2883.0,110.2,498.0,551900.0,496.0,3136200.0,118474705740.0,17859867500.0,19230592940.0,702000.0,7199700.0,,0.0,0.0,0.0
2022-11-21,496.0,0.0,0.0,498.0,484.0,486.0,-10.0,44268200.0,21632280200.0,1974.0,108.0,488.0,2213100.0,486.0,69200.0,118474705740.0,17859867500.0,19230592940.0,76300.0,10329400.0,,0.0,0.0,0.0
2022-11-22,486.0,0.0,0.0,490.0,476.0,480.0,-6.0,253471100.0,122155834000.0,2311.0,106.7,482.0,230300.0,480.0,1185400.0,118474705740.0,17859867500.0,19230592940.0,258700.0,10836500.0,,0.0,0.0,0.0
2022-11-23,480.0,0.0,0.0,498.0,476.0,488.0,8.0,39749500.0,19464863800.0,2434.0,108.4,490.0,433800.0,488.0,62000.0,118474705740.0,17859867500.0,19230592940.0,407900.0,2772200.0,,1000000000.0,482200000000.0,3.0
2022-11-24,488.0,0.0,0.0,498.0,484.0,492.0,4.0,17899300.0,8796670200.0,1432.0,109.3,492.0,338200.0,490.0,11400.0,118474705740.0,17859867500.0,19230592940.0,64500.0,232100.0,,0.0,0.0,0.0
2022-11-25,492.0,0.0,0.0,496.0,478.0,490.0,-2.0,352831000.0,170762846800.0,5092.0,108.9,490.0,2823500.0,488.0,10000.0,118474705740.0,17859867500.0,19230592940.0,119300.0,2566100.0,,0.0,0.0,0.0
