date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-03-15T00:00:00,1820.0,0.0,0.0,2010.0,1820.0,2000.0,180.0,32499700.0,62669025500.0,7879.0,160.0,2010.0,179500.0,2000.0,87100.0,2948300000.0,442300000.0,442300000.0,1977600.0,3942500.0,,0.0,0.0,0.0
2023-03-16T00:00:00,2000.0,0.0,0.0,2180.0,1930.0,2020.0,20.0,45449300.0,93606807000.0,11473.0,161.6,2020.0,309200.0,2010.0,183000.0,2948300000.0,442300000.0,442300000.0,2097300.0,3786300.0,,0.0,0.0,0.0
2023-03-17T00:00:00,2020.0,0.0,0.0,2080.0,1900.0,2040.0,20.0,48588800.0,96217661500.0,9635.0,163.2,2040.0,74600.0,2030.0,245300.0,2948300000.0,442300000.0,442300000.0,1421000.0,2302000.0,,0.0,0.0,0.0
2023-03-20T00:00:00,2040.0,0.0,0.0,2120.0,2030.0,2050.0,10.0,15840800.0,32856233000.0,3789.0,164.0,2050.0,340400.0,2040.0,134400.0,2948300000.0,442300000.0,442300000.0,306600.0,781200.0,,0.0,0.0,0.0
2023-03-21T00:00:00,2050.0,0.0,0.0,2100.0,2020.0,2080.0,30.0,12829700.0,26445272000.0,3395.0,166.4,2080.0,561500.0,2070.0,21600.0,2948300000.0,442300000.0,442300000.0,572100.0,1008100.0,,0.0,0.0,0.0
2023-03-24T00:00:00,2080.0,0.0,0.0,2190.0,2070.0,2120.0,40.0,18425800.0,39199571000.0,4117.0,169.6,2120.0,404900.0,2110.0,32500.0,2948300000.0,442300000.0,442300000.0,1307200.0,398200.0,,0.0,0.0,0.0
2023-03-27T00:00:00,2120.0,0.0,0.0,2160.0,1975.0,2130.0,10.0,26059400.0,54333147500.0,5078.0,170.4,2130.0,720100.0,2110.0,100.0,2948300000.0,442300000.0,442300000.0,2299000.0,1510400.0,,0.0,0.0,0.0
2023-03-28T00:00:00,2130.0,0.0,0.0,2170.0,2090.0,2140.0,10.0,21359200.0,45472620000.0,3817.0,171.2,2140.0,479200.0,2130.0,1700.0,2948300000.0,442300000.0,442300000.0,2738800.0,271900.0,,0.0,0.0,0.0
2023-03-29T00:00:00,2140.0,0.0,0.0,2150.0,2060.0,2060.0,-80.0,13685600.0,28823859000.0,3104.0,164.8,2060.0,712500.0,2050.0,310200.0,2948300000.0,442300000.0,442300000.0,832100.0,957900.0,,0.0,0.0,0.0
2023-03-30T00:00:00,2060.0,0.0,0.0,2060.0,1920.0,1920.0,-140.0,14332200.0,28039490000.0,3436.0,153.6,1920.0,3401000.0,0.0,0.0,2948300000.0,442300000.0,442300000.0,1625200.0,456800.0,,0.0,0.0,0.0
2023-03-31T00:00:00,1920.0,0.0,0.0,2040.0,1790.0,2020.0,100.0,37602700.0,71931934500.0,6298.0,161.6,2020.0,560700.0,2010.0,9200.0,2948300000.0,442300000.0,442300000.0,2948100.0,2884700.0,,0.0,0.0,0.0
2023-04-03T00:00:00,2020.0,0.0,0.0,2080.0,1975.0,2030.0,10.0,17329800.0,35056014500.0,4156.0,162.4,2030.0,424800.0,2020.0,4900.0,2948300000.0,442300000.0,442245000.0,1135900.0,1279000.0,,0.0,0.0,0.0
2023-04-04T00:00:00,2030.0,0.0,0.0,2040.0,1980.0,1990.0,-40.0,5750000.0,11484894500.0,1872.0,159.2,1990.0,233100.0,1985.0,84300.0,2948300000.0,442300000.0,442245000.0,901500.0,163500.0,,0.0,0.0,0.0
2023-04-05T00:00:00,1990.0,0.0,0.0,1990.0,1855.0,1875.0,-115.0,22698900.0,42811524000.0,4508.0,150.0,1875.0,552600.0,1870.0,500.0,2948300000.0,442300000.0,442245000.0,350000.0,999200.0,,0.0,0.0,0.0
2023-04-06T00:00:00,1875.0,0.0,0.0,1890.0,1745.0,1745.0,-130.0,18594400.0,32952092000.0,2555.0,139.6,1745.0,821000.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,1626800.0,1843900.0,,0.0,0.0,0.0
2023-04-10T00:00:00,1745.0,0.0,0.0,1775.0,1625.0,1760.0,15.0,33631800.0,56604052500.0,7452.0,140.8,1760.0,507400.0,1755.0,10300.0,2948300000.0,442300000.0,442245000.0,3282000.0,769000.0,,0.0,0.0,0.0
2023-04-11T00:00:00,1760.0,0.0,0.0,1790.0,1735.0,1765.0,5.0,8832900.0,15587108000.0,3089.0,141.2,1765.0,117600.0,1760.0,21400.0,2948300000.0,442300000.0,442245000.0,644700.0,323500.0,,0.0,0.0,0.0
2023-04-12T00:00:00,1765.0,0.0,0.0,1765.0,1645.0,1670.0,-95.0,21130100.0,35424345000.0,3728.0,133.6,1670.0,329200.0,1665.0,10600.0,2948300000.0,442300000.0,442245000.0,2018000.0,1224600.0,,0.0,0.0,0.0
2023-04-13T00:00:00,1670.0,0.0,0.0,1695.0,1555.0,1585.0,-85.0,9461400.0,15552031000.0,3508.0,126.8,1585.0,256200.0,1580.0,12000.0,2948300000.0,442300000.0,442245000.0,525000.0,304000.0,,0.0,0.0,0.0
2023-04-14T00:00:00,1585.0,0.0,0.0,1600.0,1535.0,1590.0,5.0,5057700.0,7927478500.0,2568.0,127.2,1590.0,288500.0,1585.0,2100.0,2948300000.0,442300000.0,442245000.0,800900.0,73000.0,,0.0,0.0,0.0
2023-04-17T00:00:00,1590.0,0.0,0.0,1730.0,1585.0,1705.0,115.0,8122000.0,13618348000.0,2498.0,136.4,1710.0,31500.0,1705.0,5800.0,2948300000.0,442300000.0,442245000.0,789100.0,259400.0,,0.0,0.0,0.0
2023-04-18T00:00:00,1705.0,0.0,0.0,1740.0,1655.0,1710.0,5.0,7289700.0,12418055500.0,2263.0,136.8,1710.0,348500.0,1705.0,31700.0,2948300000.0,442300000.0,442245000.0,460800.0,131500.0,,0.0,0.0,0.0
2023-04-26T00:00:00,1710.0,0.0,0.0,2130.0,1705.0,2130.0,420.0,43678900.0,90019634500.0,5052.0,170.4,2130.0,1119200.0,2120.0,1009000.0,2948300000.0,442300000.0,442245000.0,1710600.0,2634900.0,,0.0,0.0,0.0
2023-04-27T00:00:00,2130.0,0.0,0.0,2660.0,2000.0,2650.0,520.0,97497800.0,233253826000.0,12356.0,212.0,2650.0,268500.0,2640.0,199800.0,2948300000.0,442300000.0,442245000.0,8142300.0,14327100.0,,0.0,0.0,0.0
2023-04-28T00:00:00,2650.0,0.0,0.0,2860.0,2620.0,2730.0,80.0,39008600.0,107115767000.0,11250.0,218.4,2730.0,670700.0,2710.0,10100.0,2948300000.0,442300000.0,442245000.0,4562000.0,7035900.0,,0.0,0.0,0.0
2023-05-02T00:00:00,2730.0,0.0,0.0,3010.0,2700.0,2900.0,170.0,28478700.0,82102654000.0,7273.0,232.0,2900.0,380100.0,2890.0,41500.0,2948300000.0,442300000.0,442245000.0,3130500.0,9528100.0,,0.0,0.0,0.0
2023-05-03T00:00:00,2900.0,0.0,0.0,3290.0,2750.0,3160.0,260.0,72040100.0,218643454000.0,16339.0,252.8,3160.0,299000.0,3140.0,15600.0,2948300000.0,442300000.0,442245000.0,7421000.0,12907900.0,,0.0,0.0,0.0
2023-05-04T00:00:00,3160.0,0.0,0.0,3500.0,3120.0,3430.0,270.0,46763700.0,155784168000.0,12713.0,274.4,3430.0,36800.0,3420.0,21900.0,2948300000.0,442300000.0,442245000.0,7457600.0,6634900.0,,1230700.0,3999775000.0,1.0
2023-05-05T00:00:00,3430.0,0.0,0.0,3740.0,3410.0,3700.0,270.0,44511900.0,160791427000.0,13939.0,296.0,3700.0,76900.0,3690.0,33800.0,2948300000.0,442300000.0,442245000.0,3957100.0,5475100.0,,0.0,0.0,0.0
2023-05-08T00:00:00,3700.0,0.0,0.0,3890.0,3460.0,3740.0,40.0,39625000.0,147956691000.0,14824.0,299.2,3740.0,36800.0,3730.0,328700.0,2948300000.0,442300000.0,442245000.0,8370900.0,3424000.0,,0.0,0.0,0.0
2023-05-09T00:00:00,3740.0,0.0,0.0,3930.0,3730.0,3850.0,110.0,59112400.0,227928327000.0,11911.0,308.0,3850.0,130100.0,3840.0,71700.0,2948300000.0,442300000.0,442245000.0,1863900.0,7698900.0,,0.0,0.0,0.0
2023-05-10T00:00:00,3850.0,0.0,0.0,4000.0,3760.0,3910.0,60.0,54439800.0,213288730000.0,14753.0,312.8,3910.0,121600.0,3900.0,59700.0,2948300000.0,442300000.0,442245000.0,5356600.0,7103600.0,,13000.0,50869000.0,1.0
2023-05-11T00:00:00,3910.0,0.0,0.0,4000.0,3720.0,3910.0,0.0,47579000.0,186915915000.0,10666.0,312.8,3910.0,277500.0,3900.0,50700.0,2948300000.0,442300000.0,442245000.0,4543000.0,6921700.0,,0.0,0.0,0.0
2023-05-12T00:00:00,3910.0,0.0,0.0,3990.0,3640.0,3660.0,-250.0,45705700.0,172732233000.0,11583.0,292.8,3660.0,83100.0,3650.0,31900.0,2948300000.0,442300000.0,442245000.0,12512900.0,2152600.0,,0.0,0.0,0.0
2023-05-15T00:00:00,3660.0,0.0,0.0,3660.0,3410.0,3410.0,-250.0,800300.0,2741500000.0,360.0,272.8,3410.0,8448600.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,0.0,144300.0,,350000.0,1193500000.0,1.0
2023-05-16T00:00:00,3410.0,0.0,0.0,3350.0,3180.0,3180.0,-230.0,487600.0,1550804000.0,148.0,254.4,3180.0,8151100.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,0.0,47000.0,,1769700.0,5627646000.0,4.0
2023-05-17T00:00:00,3180.0,0.0,0.0,3180.0,2960.0,2960.0,-220.0,5995800.0,17747788000.0,4561.0,236.8,2960.0,638200.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,1500.0,605000.0,,0.0,0.0,0.0
2023-05-19T00:00:00,2960.0,0.0,0.0,3100.0,2760.0,3020.0,60.0,22552800.0,66338161000.0,9812.0,241.6,3020.0,292700.0,3010.0,22900.0,2948300000.0,442300000.0,442245000.0,5831100.0,1637700.0,,0.0,0.0,0.0
2023-05-22T00:00:00,3020.0,0.0,0.0,3160.0,2810.0,2810.0,-210.0,14740500.0,44665628000.0,9486.0,224.8,2810.0,3143300.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,4039700.0,2372400.0,,0.0,0.0,0.0
2023-05-23T00:00:00,2810.0,0.0,0.0,2810.0,2620.0,2620.0,-190.0,5437800.0,14289388000.0,1619.0,209.6,2620.0,1583500.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,212200.0,465000.0,,0.0,0.0,0.0
2023-05-24T00:00:00,2620.0,0.0,0.0,2630.0,2440.0,2440.0,-180.0,2111100.0,5335840000.0,750.0,195.2,2440.0,7874600.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,425300.0,124400.0,,38769300.0,94597092000.0,3.0
2023-05-25T00:00:00,2440.0,0.0,0.0,2800.0,2270.0,2270.0,-170.0,35507800.0,87794840000.0,9849.0,181.6,2270.0,2169500.0,0.0,0.0,2948300000.0,442300000.0,442245000.0,12575400.0,4051700.0,,0.0,0.0,0.0
2023-05-26T00:00:00,2270.0,0.0,0.0,2830.0,2260.0,2830.0,560.0,49721600.0,133117893000.0,16728.0,226.4,2830.0,153400.0,2820.0,290600.0,2948300000.0,442300000.0,442245000.0,7026400.0,5368300.0,,0.0,0.0,0.0
2023-05-29T00:00:00,2830.0,0.0,0.0,2860.0,2640.0,2680.0,-150.0,23135300.0,62575211000.0,11166.0,214.4,2680.0,1498100.0,2670.0,51100.0,2948300000.0,442300000.0,442245000.0,6240700.0,1120200.0,,0.0,0.0,0.0
2023-05-30T00:00:00,2680.0,0.0,0.0,2680.0,2500.0,2550.0,-130.0,64020100.0,160704591000.0,5364.0,204.0,2550.0,12000.0,2540.0,330400.0,2948300000.0,442300000.0,442245000.0,1877700.0,1622700.0,,40000000.0,100000000000.0,1.0
2023-05-31T00:00:00,2550.0,0.0,0.0,2650.0,2460.0,2580.0,30.0,15280500.0,39346442000.0,9367.0,206.4,2580.0,1538800.0,2570.0,5500.0,2948300000.0,442300000.0,442245000.0,2128100.0,587700.0,,9900.0,30442500.0,1.0
2023-06-05T00:00:00,2580.0,0.0,0.0,2770.0,2540.0,2640.0,60.0,20200900.0,53864382000.0,10462.0,211.2,2640.0,344500.0,2630.0,54000.0,2948300000.0,442300000.0,442245000.0,1591300.0,2845700.0,,0.0,0.0,0.0
2023-06-06T00:00:00,2640.0,0.0,0.0,2750.0,2600.0,2670.0,30.0,11063100.0,29694566000.0,8558.0,213.6,2670.0,63600.0,2660.0,27600.0,2948300000.0,442300000.0,442245000.0,655800.0,1407500.0,,172500.0,500250000.0,1.0
2023-06-07T00:00:00,2670.0,0.0,0.0,2840.0,2670.0,2760.0,90.0,15735600.0,43454003000.0,3853.0,220.8,2760.0,163100.0,2750.0,11400.0,2948300000.0,442300000.0,442245000.0,858700.0,2093100.0,,172500.0,500250000.0,1.0
2023-06-08T00:00:00,2760.0,0.0,0.0,2840.0,2510.0,2720.0,-40.0,20557600.0,55396693000.0,10628.0,217.6,2720.0,160700.0,2710.0,12500.0,2948300000.0,442300000.0,442245000.0,3920900.0,1546200.0,,0.0,0.0,0.0
2023-06-09T00:00:00,2720.0,0.0,0.0,2770.0,2710.0,2730.0,10.0,8240200.0,22528872000.0,4832.0,218.4,2730.0,257500.0,2720.0,102800.0,2948300000.0,442300000.0,442245000.0,281300.0,21900.0,,0.0,0.0,0.0
2023-06-12T00:00:00,2730.0,0.0,0.0,3030.0,2720.0,2950.0,220.0,26392700.0,76381768000.0,10277.0,236.0,2950.0,152800.0,2940.0,106600.0,2948300000.0,442300000.0,442245000.0,736600.0,4819000.0,,0.0,0.0,0.0
2023-06-13T00:00:00,2950.0,0.0,0.0,3000.0,2790.0,2880.0,-70.0,20624100.0,59531023000.0,8666.0,230.4,2880.0,387300.0,2870.0,106200.0,2948300000.0,442300000.0,442245000.0,4575900.0,895000.0,,0.0,0.0,0.0
2023-06-14T00:00:00,2880.0,0.0,0.0,2970.0,2870.0,2910.0,30.0,9606000.0,28026527000.0,8028.0,232.8,2910.0,218500.0,2900.0,11800.0,2948300000.0,442300000.0,442245000.0,685700.0,826300.0,,0.0,0.0,0.0
2023-06-15T00:00:00,2910.0,0.0,0.0,2980.0,2900.0,2940.0,30.0,8568000.0,25266614000.0,4890.0,235.2,2940.0,504300.0,2930.0,146900.0,2948300000.0,442300000.0,442245000.0,628000.0,1475900.0,,0.0,0.0,0.0
2023-06-16T00:00:00,2940.0,0.0,0.0,3140.0,2940.0,3110.0,170.0,17788800.0,54561186000.0,7041.0,248.8,3110.0,202500.0,3100.0,131100.0,2948300000.0,442300000.0,442245000.0,674700.0,2945600.0,,0.0,0.0,0.0
2023-06-19T00:00:00,3110.0,0.0,0.0,3170.0,3080.0,3080.0,-30.0,10603700.0,33109267000.0,5611.0,246.4,3080.0,346800.0,3070.0,119900.0,2948300000.0,442300000.0,442245000.0,2416400.0,682600.0,,0.0,0.0,0.0
2023-06-20T00:00:00,3080.0,0.0,0.0,3140.0,2950.0,3010.0,-70.0,9775800.0,29826255000.0,6306.0,240.8,3010.0,59600.0,3000.0,19500.0,2948300000.0,442300000.0,442245000.0,734300.0,594100.0,,0.0,0.0,0.0
2023-06-21T00:00:00,3010.0,0.0,0.0,3070.0,2970.0,2990.0,-20.0,6832700.0,20669080000.0,5036.0,239.2,2990.0,90200.0,2980.0,1400.0,2948300000.0,442300000.0,442245000.0,1002600.0,710400.0,,0.0,0.0,0.0
2023-06-22T00:00:00,2990.0,0.0,0.0,3030.0,2800.0,2800.0,-190.0,5430700.0,15671039000.0,3564.0,224.0,2800.0,12100.0,2790.0,116700.0,2948300000.0,442300000.0,442245000.0,721700.0,502300.0,,496600.0,1499732000.0,1.0
2023-06-23T00:00:00,2800.0,0.0,0.0,2800.0,2580.0,2580.0,-220.0,8745200.0,23236265000.0,3157.0,206.4,2580.0,131800.0,2570.0,39900.0,2948300000.0,442300000.0,442245000.0,1799100.0,545800.0,,0.0,0.0,0.0
2023-06-26T00:00:00,2580.0,0.0,0.0,2670.0,2560.0,2660.0,80.0,9634100.0,25316895000.0,2950.0,212.8,2660.0,510700.0,2650.0,97000.0,2948300000.0,442300000.0,442245000.0,1273600.0,1531800.0,,0.0,0.0,0.0
2023-06-27T00:00:00,2660.0,0.0,0.0,2710.0,2650.0,2690.0,30.0,5461300.0,14653950000.0,1697.0,215.2,2690.0,269300.0,2680.0,99600.0,2948300000.0,442300000.0,442245000.0,1153200.0,1554500.0,,0.0,0.0,0.0
2023-07-03T00:00:00,2690.0,0.0,0.0,2780.0,2670.0,2740.0,50.0,8452700.0,23130766000.0,2789.0,219.2,2740.0,79800.0,2730.0,57600.0,2948300000.0,442300000.0,442245000.0,921200.0,1579600.0,,0.0,0.0,0.0
2023-07-04T00:00:00,2740.0,0.0,0.0,2790.0,2730.0,2770.0,30.0,3934400.0,10874482000.0,3327.0,221.6,2770.0,230800.0,2760.0,30000.0,2948300000.0,442300000.0,442245000.0,355600.0,557500.0,,0.0,0.0,0.0
2023-07-05T00:00:00,2770.0,0.0,0.0,2830.0,2760.0,2790.0,20.0,5313700.0,14847016000.0,2980.0,223.2,2790.0,229900.0,2780.0,25200.0,2948300000.0,442300000.0,442245000.0,291700.0,1389700.0,,0.0,0.0,0.0
2023-07-06T00:00:00,2790.0,0.0,0.0,2840.0,2790.0,2800.0,10.0,4632400.0,13031875000.0,3644.0,224.0,2810.0,61400.0,2800.0,7800.0,2948300000.0,442300000.0,442245000.0,318200.0,223000.0,,0.0,0.0,0.0
2023-07-07T00:00:00,2800.0,0.0,0.0,2810.0,2560.0,2660.0,-140.0,7980000.0,21248413000.0,2968.0,212.8,2660.0,445000.0,2650.0,26200.0,2948300000.0,442300000.0,442245000.0,2604300.0,160700.0,,0.0,0.0,0.0
2023-07-10T00:00:00,2660.0,0.0,0.0,2740.0,2650.0,2720.0,60.0,4098500.0,11095543000.0,3211.0,217.6,2720.0,161800.0,2710.0,37700.0,2948300000.0,442300000.0,442245000.0,33100.0,720000.0,,0.0,0.0,0.0
2023-07-11T00:00:00,2720.0,0.0,0.0,2780.0,2600.0,2740.0,20.0,12159800.0,32825634000.0,5135.0,219.2,2740.0,276200.0,2730.0,106800.0,2948300000.0,442300000.0,442245000.0,1468200.0,2494000.0,,0.0,0.0,0.0
2023-07-12T00:00:00,2740.0,0.0,0.0,2860.0,2620.0,2660.0,-80.0,16507500.0,45119730000.0,5083.0,212.8,2660.0,144400.0,2650.0,3500.0,2948300000.0,442300000.0,442245000.0,3046700.0,709500.0,,0.0,0.0,0.0
2023-07-13T00:00:00,2660.0,0.0,0.0,2680.0,2650.0,2660.0,0.0,2128300.0,5670004000.0,1927.0,212.8,2660.0,61800.0,2650.0,113000.0,2948300000.0,442300000.0,442245000.0,64500.0,128900.0,,0.0,0.0,0.0
2023-07-14T00:00:00,2660.0,0.0,0.0,2690.0,2650.0,2680.0,20.0,1462400.0,3912292000.0,994.0,214.4,2680.0,234800.0,2670.0,13000.0,2948300000.0,442300000.0,442245000.0,11400.0,233300.0,,0.0,0.0,0.0
2023-07-17T00:00:00,2680.0,0.0,0.0,2750.0,2670.0,2700.0,20.0,4773400.0,12936109000.0,2693.0,216.0,2700.0,131200.0,2690.0,57200.0,2948300000.0,442300000.0,442245000.0,51500.0,1157600.0,,0.0,0.0,0.0
2023-07-18T00:00:00,2700.0,0.0,0.0,2780.0,2690.0,2750.0,50.0,5365700.0,14734682000.0,3729.0,220.0,2750.0,247700.0,2740.0,111700.0,2948300000.0,442300000.0,442245000.0,125900.0,1899500.0,,0.0,0.0,0.0
2023-07-20T00:00:00,2750.0,0.0,0.0,2850.0,2740.0,2810.0,60.0,8774500.0,24653525000.0,5342.0,224.8,2810.0,166400.0,2800.0,90100.0,2948300000.0,442300000.0,442245000.0,502100.0,1724000.0,,0.0,0.0,0.0
2023-07-21T00:00:00,2810.0,0.0,0.0,2870.0,2790.0,2810.0,0.0,4999500.0,14162216000.0,4393.0,224.8,2810.0,138400.0,2790.0,140800.0,2948300000.0,442300000.0,442245000.0,1321500.0,535100.0,,300500.0,853720000.0,2.0
2023-07-24T00:00:00,2810.0,0.0,0.0,2850.0,2730.0,2790.0,-20.0,5851500.0,16367977000.0,3401.0,223.2,2790.0,258200.0,2780.0,108000.0,2948300000.0,442300000.0,442245000.0,987200.0,762900.0,,335200.0,896300000.0,2.0
2023-07-25T00:00:00,2790.0,0.0,0.0,2810.0,2780.0,2800.0,10.0,4119700.0,11522605000.0,4685.0,224.0,2800.0,240700.0,2790.0,100.0,2948300000.0,442300000.0,442245000.0,83200.0,810200.0,,0.0,0.0,0.0
2023-07-26T00:00:00,2800.0,0.0,0.0,3320.0,2790.0,2880.0,80.0,59100600.0,181400085000.0,16363.0,230.4,2880.0,100100.0,2870.0,65800.0,2948300000.0,442300000.0,442245000.0,6422200.0,10373700.0,,0.0,0.0,0.0
2023-07-27T00:00:00,2880.0,0.0,0.0,2930.0,2730.0,2920.0,40.0,23537000.0,66578544000.0,6806.0,233.6,2920.0,197900.0,2910.0,215900.0,2948300000.0,442300000.0,442245000.0,5472200.0,2868700.0,,0.0,0.0,0.0
2023-07-28T00:00:00,2920.0,0.0,0.0,2960.0,2820.0,2830.0,-90.0,11593200.0,33524018000.0,5455.0,226.4,2830.0,345600.0,2820.0,144500.0,2948300000.0,442300000.0,442245000.0,2064000.0,1346800.0,,0.0,0.0,0.0
2023-07-31T00:00:00,2830.0,0.0,0.0,2860.0,2820.0,2850.0,20.0,2370700.0,6758886000.0,4170.0,228.0,2850.0,132100.0,2840.0,98000.0,2948300000.0,442300000.0,442245000.0,263400.0,203100.0,,0.0,0.0,0.0
2023-08-01T00:00:00,2850.0,0.0,0.0,2870.0,2840.0,2840.0,-10.0,3478700.0,9936147000.0,3229.0,227.2,2840.0,222400.0,2830.0,93500.0,2948300000.0,442300000.0,442245000.0,101200.0,800500.0,,0.0,0.0,0.0
2023-08-02T00:00:00,2840.0,0.0,0.0,2900.0,2800.0,2800.0,-40.0,6130500.0,17513579000.0,4452.0,224.0,2800.0,220300.0,2790.0,118400.0,2948300000.0,442300000.0,442245000.0,1003200.0,943100.0,,0.0,0.0,0.0
2023-08-03T00:00:00,2800.0,0.0,0.0,2820.0,2640.0,2730.0,-70.0,8190400.0,22249155000.0,6696.0,218.4,2730.0,218600.0,2720.0,19100.0,2948300000.0,442300000.0,442245000.0,2353600.0,462900.0,,0.0,0.0,0.0
2023-08-04T00:00:00,2730.0,0.0,0.0,2740.0,2670.0,2690.0,-40.0,3624300.0,9833241000.0,3558.0,215.2,2690.0,56100.0,2680.0,11900.0,2948300000.0,442300000.0,442245000.0,288700.0,25600.0,,0.0,0.0,0.0
2023-08-07T00:00:00,2690.0,0.0,0.0,2850.0,2670.0,2740.0,50.0,12888000.0,35847823000.0,7727.0,219.2,2740.0,89900.0,2730.0,116200.0,2948300000.0,442300000.0,442245000.0,1535700.0,1492000.0,,0.0,0.0,0.0
2023-08-08T00:00:00,2740.0,0.0,0.0,2770.0,2650.0,2650.0,-90.0,6624800.0,17765691000.0,4739.0,212.0,2650.0,40200.0,2640.0,187000.0,2948300000.0,442300000.0,442245000.0,1457100.0,336500.0,,0.0,0.0,0.0
2023-08-09T00:00:00,2650.0,0.0,0.0,2670.0,2620.0,2620.0,-30.0,4033500.0,10683404000.0,4540.0,209.6,2620.0,174600.0,2610.0,109300.0,2948300000.0,442300000.0,442245000.0,140200.0,101800.0,,0.0,0.0,0.0
2023-08-10T00:00:00,2620.0,0.0,0.0,2640.0,2580.0,2620.0,0.0,5109600.0,13410849000.0,3289.0,209.6,2620.0,184500.0,2610.0,300.0,2948300000.0,442300000.0,442245000.0,71200.0,93900.0,,0.0,0.0,0.0
2023-08-11T00:00:00,2620.0,0.0,0.0,2680.0,2610.0,2630.0,10.0,5382200.0,14272519000.0,4410.0,210.4,2630.0,166800.0,2620.0,154400.0,2948300000.0,442300000.0,442245000.0,48300.0,536600.0,,0.0,0.0,0.0
2023-08-14T00:00:00,2630.0,0.0,0.0,2650.0,2590.0,2600.0,-30.0,3994800.0,10485539000.0,2353.0,208.0,2600.0,120000.0,2590.0,113800.0,2948300000.0,442300000.0,442245000.0,124100.0,273800.0,,0.0,0.0,0.0
2023-08-15T00:00:00,2600.0,0.0,0.0,2740.0,2600.0,2710.0,110.0,4769700.0,12801841000.0,5679.0,216.8,2710.0,156500.0,2700.0,22000.0,2948300000.0,442300000.0,442245000.0,76500.0,1125800.0,,0.0,0.0,0.0
2023-08-16T00:00:00,2710.0,0.0,0.0,2740.0,2600.0,2630.0,-80.0,6001700.0,15954991000.0,7022.0,210.4,2630.0,165100.0,2620.0,24100.0,2948300000.0,442300000.0,442245000.0,909000.0,212600.0,,0.0,0.0,0.0
