date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-07-10T00:00:00,100.0,0.0,0.0,110.0,100.0,110.0,10.0,125392100.0,13780319600.0,4191.0,110.0,0.0,0.0,110.0,35154500.0,1600000000.0,600000000.0,0.0,851600.0,7000.0,,1298000.0,129800000.0,4.0
2023-07-11T00:00:00,110.0,0.0,0.0,121.0,121.0,121.0,11.0,13808900.0,1670876900.0,1792.0,121.0,0.0,0.0,121.0,88851300.0,1600000000.0,600000000.0,0.0,167700.0,0.0,,64600.0,6783000.0,1.0
2023-07-12T00:00:00,121.0,0.0,0.0,133.0,133.0,133.0,12.0,86990300.0,11569709900.0,4736.0,133.0,0.0,0.0,133.0,15492600.0,1600000000.0,600000000.0,0.0,60000.0,0.0,,5483200.0,657984000.0,1.0
2023-07-13T00:00:00,133.0,0.0,0.0,146.0,120.0,120.0,-13.0,319216000.0,42113064000.0,21263.0,120.0,120.0,8292300.0,0.0,0.0,1600000000.0,600000000.0,0.0,192000.0,309200.0,,0.0,0.0,0.0
2023-07-14T00:00:00,120.0,0.0,0.0,116.0,108.0,108.0,-12.0,205477100.0,22753187400.0,9198.0,108.0,108.0,7279600.0,0.0,0.0,1600000000.0,600000000.0,0.0,216200.0,30100.0,,0.0,0.0,0.0
2023-07-17T00:00:00,108.0,0.0,0.0,99.0,98.0,98.0,-10.0,75622700.0,7411235200.0,12964.0,98.0,98.0,9776700.0,0.0,0.0,1600000000.0,600000000.0,0.0,70000.0,500.0,,0.0,0.0,0.0
2023-07-18T00:00:00,98.0,0.0,0.0,107.0,89.0,106.0,8.0,363317400.0,36059820700.0,38136.0,106.0,106.0,892000.0,105.0,2666900.0,1600000000.0,600000000.0,0.0,0.0,1000.0,,0.0,0.0,0.0
2023-07-20T00:00:00,106.0,0.0,0.0,112.0,96.0,96.0,-10.0,534458400.0,56042512500.0,20944.0,96.0,96.0,8838300.0,0.0,0.0,1600000000.0,600000000.0,0.0,626800.0,20300.0,,0.0,0.0,0.0
2023-07-21T00:00:00,96.0,0.0,0.0,95.0,87.0,91.0,-5.0,281279900.0,25517406100.0,14309.0,91.0,92.0,97900.0,91.0,108300.0,1600000000.0,600000000.0,0.0,97400.0,1113700.0,,0.0,0.0,0.0
2023-07-24T00:00:00,91.0,0.0,0.0,100.0,89.0,100.0,9.0,318449600.0,30384230100.0,8665.0,100.0,0.0,0.0,100.0,8180800.0,1600000000.0,600000000.0,0.0,7394900.0,12606500.0,,0.0,0.0,0.0
2023-07-25T00:00:00,100.0,0.0,0.0,110.0,100.0,110.0,10.0,261715400.0,27738074300.0,11307.0,110.0,0.0,0.0,110.0,5821600.0,1600000000.0,600000000.0,0.0,8611000.0,3991200.0,,8000.0,880000.0,2.0
2023-07-26T00:00:00,110.0,0.0,0.0,121.0,112.0,121.0,11.0,171118000.0,20211519100.0,5952.0,121.0,0.0,0.0,121.0,9876400.0,1600000000.0,600000000.0,0.0,5642900.0,4201500.0,,0.0,0.0,0.0
2023-07-27T00:00:00,121.0,0.0,0.0,133.0,124.0,133.0,12.0,203768800.0,26551022400.0,8450.0,133.0,0.0,0.0,133.0,17241100.0,1600000000.0,600000000.0,0.0,13174500.0,14992100.0,,0.0,0.0,0.0
2023-07-28T00:00:00,133.0,0.0,0.0,146.0,137.0,146.0,13.0,94224000.0,13571563100.0,6519.0,146.0,0.0,0.0,146.0,6157800.0,1600000000.0,600000000.0,0.0,2514000.0,2729000.0,,0.0,0.0,0.0
2023-07-31T00:00:00,146.0,0.0,0.0,160.0,146.0,160.0,14.0,93117800.0,14573784300.0,5459.0,160.0,0.0,0.0,160.0,14181200.0,1600000000.0,600000000.0,0.0,2719800.0,2704400.0,,0.0,0.0,0.0
