date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,8425.0,8400.0,8425.0,8450.0,8300.0,8350.0,-75.0,20147300.0,168146152500.0,4483.0,40.2,8350.0,503100.0,8325.0,43100.0,18462169893.0,18462169893.0,18462169893.0,7356400.0,5904300.0,,605634.0,5051935600.0,18.0
2019-07-30T00:00:00,8350.0,8300.0,8325.0,8375.0,8225.0,8350.0,0.0,27278400.0,226879375000.0,4716.0,40.2,8350.0,3099700.0,8325.0,1339100.0,18462169893.0,18462169893.0,18462169893.0,16893300.0,3114800.0,,3580297.0,29715883650.0,8.0
2019-07-31T00:00:00,8350.0,8400.0,8375.0,8500.0,8275.0,8475.0,125.0,21853200.0,184359782500.0,3993.0,40.8,8475.0,1146900.0,8450.0,382600.0,18462169893.0,18462169893.0,18462169893.0,10481400.0,10096800.0,,3807102.0,31942662100.0,25.0
2019-08-01T00:00:00,8475.0,8450.0,8425.0,8450.0,8250.0,8250.0,-225.0,32360000.0,268588502500.0,7021.0,39.7,8275.0,2400.0,8250.0,2164300.0,18462169893.0,18462169893.0,18462169893.0,25025400.0,12415100.0,,1625054.0,13606957526.0,22.0
2019-08-02T00:00:00,8250.0,8175.0,8150.0,8175.0,8025.0,8100.0,-150.0,39389500.0,319097077500.0,7180.0,39.0,8125.0,379900.0,8100.0,419900.0,18462169893.0,18462169893.0,18462169893.0,28146200.0,4832200.0,,4129224.0,34076004025.0,35.0
2019-08-05T00:00:00,8100.0,8025.0,8050.0,8050.0,7900.0,7925.0,-175.0,30645700.0,243891435000.0,6619.0,38.1,7950.0,4600.0,7925.0,335600.0,18462169893.0,18462169893.0,18462169893.0,15165200.0,5074600.0,,913825.0,7329828125.0,15.0
2019-08-06T00:00:00,7925.0,7800.0,7775.0,7950.0,7550.0,7825.0,-100.0,34999600.0,273545425000.0,7682.0,37.6,7850.0,87900.0,7825.0,1781600.0,18462169893.0,18462169893.0,18462169893.0,20375500.0,6701300.0,,1851373.0,14614281975.0,17.0
2019-08-07T00:00:00,7825.0,7900.0,7900.0,8000.0,7825.0,7875.0,50.0,28251500.0,223620287500.0,6279.0,37.9,7900.0,12500.0,7875.0,568000.0,18462169893.0,18462169893.0,18462169893.0,13523000.0,8936800.0,,3318713.0,26309271800.0,5.0
2019-08-08T00:00:00,7875.0,7900.0,7925.0,8150.0,7875.0,8125.0,250.0,26336600.0,211011477500.0,5232.0,39.1,8125.0,1639200.0,8100.0,497100.0,18462169893.0,18462169893.0,18462169893.0,11265400.0,8016200.0,,1900000.0,15029000000.0,1.0
2019-08-09T00:00:00,8125.0,8150.0,8175.0,8175.0,7925.0,7925.0,-200.0,20603300.0,164437557500.0,5815.0,38.1,7950.0,290100.0,7925.0,325400.0,18462169893.0,18462169893.0,18462169893.0,12846800.0,5442000.0,,290000.0,2304010000.0,2.0
2019-08-12T00:00:00,7925.0,7950.0,7950.0,8000.0,7800.0,7925.0,0.0,13145000.0,103641380000.0,3383.0,38.1,7950.0,214600.0,7925.0,2236500.0,18462169893.0,18462169893.0,18462169893.0,4540400.0,1277700.0,,793000.0,6325500000.0,6.0
2019-08-13T00:00:00,7925.0,7875.0,7850.0,7900.0,7825.0,7900.0,-25.0,18109100.0,142575165000.0,3166.0,38.0,7925.0,190500.0,7900.0,535800.0,18462169893.0,18462169893.0,18462169893.0,11443600.0,7031400.0,,62.0,489800.0,1.0
2019-08-14T00:00:00,7900.0,8000.0,8000.0,8125.0,7950.0,8100.0,200.0,26547000.0,213905325000.0,5575.0,39.0,8100.0,959900.0,8075.0,4800.0,18462169893.0,18462169893.0,18462169893.0,12310800.0,12528400.0,,50143.0,416151675.0,4.0
2019-08-15T00:00:00,8100.0,7900.0,7875.0,8025.0,7850.0,8025.0,-75.0,17055000.0,135833065000.0,4311.0,38.6,8025.0,864600.0,8000.0,453100.0,18462169893.0,18462169893.0,18462169893.0,8925100.0,6409900.0,,2230500.0,17865950000.0,26.0
2019-08-16T00:00:00,8025.0,8025.0,8050.0,8100.0,7900.0,7925.0,-100.0,12853900.0,101970830000.0,4388.0,38.1,7950.0,59200.0,7925.0,522500.0,18462169893.0,18462169893.0,18462169893.0,8855300.0,3407100.0,,965791.0,7656297800.0,4.0
2019-08-19T00:00:00,7925.0,8000.0,8000.0,8025.0,7825.0,7875.0,-50.0,10523700.0,82831757500.0,3720.0,37.9,7875.0,1221500.0,7850.0,109500.0,18462169893.0,18462169893.0,18462169893.0,5218000.0,2330700.0,,10.0,79250.0,1.0
2019-08-20T00:00:00,7875.0,7925.0,7900.0,7925.0,7725.0,7750.0,-125.0,17175900.0,133759185000.0,4695.0,37.3,7750.0,97300.0,7725.0,661000.0,18462169893.0,18462169893.0,18462169893.0,7768600.0,6372000.0,,805625.0,6332355625.0,3.0
2019-08-21T00:00:00,7750.0,7700.0,7700.0,7775.0,7575.0,7575.0,-175.0,18106500.0,138101312500.0,5189.0,36.4,7600.0,19000.0,7575.0,88200.0,18462169893.0,18462169893.0,18462169893.0,11327100.0,4314400.0,,300000.0,2328750000.0,5.0
2019-08-22T00:00:00,7575.0,7625.0,7625.0,7725.0,7475.0,7600.0,25.0,31284300.0,237342542500.0,6154.0,36.6,7600.0,2115700.0,7575.0,4400.0,18462169893.0,18462169893.0,18462169893.0,7386100.0,13382200.0,,308158.0,2385093000.0,11.0
2019-08-23T00:00:00,7600.0,7600.0,7625.0,7650.0,7450.0,7625.0,25.0,17746100.0,133949160000.0,3889.0,36.7,7625.0,62400.0,7600.0,246800.0,18462169893.0,18462169893.0,18462169893.0,4919000.0,6288400.0,,1371521.0,9696097100.0,14.0
2019-08-26T00:00:00,7625.0,7475.0,7450.0,7525.0,7375.0,7500.0,-125.0,15136900.0,113294120000.0,3688.0,36.1,7525.0,739600.0,7500.0,4800.0,18462169893.0,18462169893.0,18462169893.0,5200200.0,3906300.0,,10074.0,77555910.0,5.0
2019-08-27T00:00:00,7500.0,7450.0,7500.0,7625.0,7450.0,7575.0,75.0,23383200.0,176901440000.0,3841.0,36.4,7600.0,327300.0,7575.0,465300.0,18462169893.0,18462169893.0,18462169893.0,17974600.0,16377600.0,,492471.0,3757531175.0,8.0
