date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,10575.0,10600.0,10600.0,10600.0,10150.0,10550.0,-25.0,4662100.0,48743120000.0,2644.0,391.1,10575.0,200.0,10550.0,381200.0,11661908000.0,11661908000.0,11661908000.0,1012300.0,1061400.0,,144607.0,1542790512.0,12.0
2019-07-30T00:00:00,10550.0,10350.0,10350.0,10625.0,10325.0,10625.0,75.0,6836000.0,71650382500.0,3022.0,393.9,10625.0,546700.0,10550.0,346100.0,11661908000.0,11661908000.0,11661908000.0,1508400.0,1506100.0,,776978.0,8126522158.0,20.0
2019-07-31T00:00:00,10625.0,10700.0,10700.0,10725.0,10600.0,10700.0,75.0,9353300.0,99917042500.0,3771.0,396.7,10700.0,245200.0,10650.0,3200.0,11661908000.0,11661908000.0,11661908000.0,1510300.0,6286600.0,,2046592.0,21619304000.0,31.0
2019-08-01T00:00:00,10700.0,10700.0,10700.0,10825.0,10575.0,10700.0,0.0,5747800.0,61600467500.0,2272.0,396.7,10800.0,303300.0,10700.0,203900.0,11661908000.0,11661908000.0,11661908000.0,1343100.0,2896100.0,,1956167.0,20690685425.0,14.0
2019-08-02T00:00:00,10700.0,10600.0,10600.0,10875.0,10600.0,10850.0,150.0,6844300.0,74165047500.0,2907.0,402.2,10875.0,820800.0,10850.0,561400.0,11661908000.0,11661908000.0,11661908000.0,1313200.0,2089800.0,,239276.0,2566006200.0,5.0
2019-08-05T00:00:00,10850.0,10800.0,10775.0,11175.0,10725.0,10875.0,25.0,10260200.0,112089885000.0,4185.0,403.2,10900.0,76100.0,10875.0,842500.0,11661908000.0,11661908000.0,11661908000.0,2412800.0,5511700.0,,441.0,4809875.0,2.0
2019-08-06T00:00:00,10875.0,10875.0,10875.0,10875.0,10625.0,10775.0,-100.0,7514300.0,80624000000.0,4109.0,399.4,10775.0,205900.0,10750.0,800.0,11661908000.0,11661908000.0,11661908000.0,2580800.0,4668700.0,,0.0,0.0,0.0
2019-08-07T00:00:00,10775.0,10875.0,10875.0,11900.0,10850.0,11225.0,450.0,8654200.0,96522125000.0,4074.0,416.1,11225.0,1013200.0,11200.0,700.0,11661908000.0,11661908000.0,11661908000.0,1326300.0,5976000.0,,444400.0,4771080000.0,13.0
2019-08-08T00:00:00,11225.0,11100.0,11100.0,11500.0,11100.0,11175.0,-50.0,7458300.0,83645470000.0,3078.0,414.3,11200.0,110500.0,11175.0,553700.0,11661908000.0,11661908000.0,11661908000.0,3059300.0,5075900.0,,14000.0,156900000.0,2.0
2019-08-09T00:00:00,11175.0,11275.0,11275.0,11350.0,11200.0,11300.0,125.0,4156500.0,46917005000.0,2531.0,418.9,11300.0,596400.0,11275.0,684900.0,11661908000.0,11661908000.0,11661908000.0,1666300.0,2492100.0,,1374317.0,15418772050.0,16.0
2019-08-12T00:00:00,11300.0,11350.0,11350.0,11450.0,11225.0,11275.0,-25.0,2861900.0,32298025000.0,2376.0,418.0,11275.0,453900.0,11250.0,1500.0,11661908000.0,11661908000.0,11661908000.0,879000.0,1414200.0,,5128400.0,57841515800.0,23.0
2019-08-13T00:00:00,11275.0,11500.0,11500.0,11500.0,11175.0,11250.0,-25.0,7798500.0,87934832500.0,3360.0,417.1,11250.0,388600.0,11225.0,15500.0,11661908000.0,11661908000.0,11661908000.0,4616600.0,5939500.0,,2910431.0,32858764750.0,2.0
2019-08-14T00:00:00,11250.0,11400.0,11350.0,11400.0,11275.0,11350.0,100.0,4994700.0,56625157500.0,3140.0,420.8,11350.0,697000.0,11325.0,10500.0,11661908000.0,11661908000.0,11661908000.0,3120100.0,3734600.0,,82.0,926600.0,1.0
2019-08-15T00:00:00,11350.0,11100.0,11100.0,11500.0,11050.0,11500.0,150.0,7785500.0,88707775000.0,4515.0,426.3,11500.0,530100.0,11475.0,23800.0,11661908000.0,11661908000.0,11661908000.0,3433200.0,6044200.0,,1163500.0,13106420800.0,13.0
2019-08-16T00:00:00,11500.0,10750.0,11100.0,11650.0,10750.0,11625.0,125.0,7037500.0,81493770000.0,3353.0,431.0,11650.0,330800.0,11625.0,511500.0,11661908000.0,11661908000.0,11661908000.0,4119300.0,5003900.0,,100096.0,1126116000.0,2.0
